ParkingGeohash,AvgLatitude,AvgLongitude,City,County,State,Country,ISO_3166_2,AvgTimeToPark,AvgTimeToParkRatio,TotalSearching,PercentSearching,AvgUniqueGeohashes,AvgTotalGeohashes,CirclingDistribution,HourlyDistribution,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dphg7v6,39.9754,-83.15246,Columbus,Franklin,Ohio,United States of America,US-OH,5.6595,1.2119,7,0.1591,7,11.5714,"{""dphg7ve"":0.0469, ""dphg7v3"":0.3326, ""dphg7v7"":0.0869, ""dphg7v5"":0.0703, ""dphg7v6"":0.2016, ""dphg7v4"":0.1507, ""dphg7v1"":0.0496, ""dphg7vd"":0.0291, ""dphg7v9"":0.0324}","{""00"": 0.4, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": 0.2}",0,0,0.2857,0,0.1429,0.5714,2018-05-02,1.1
dphgwbg,39.99542,-83.01891,Columbus,Franklin,Ohio,United States of America,US-OH,7.0735,1.0869,17,0.0733,5.4118,8.8824,"{""dphgwbg"":0.2301, ""dphgwbu"":0.1477, ""dphgwch"":0.1094, ""dphgwc5"":0.1253, ""dphgwc4"":0.0271, ""dphgwbe"":0.111, ""dphgwbs"":0.1063, ""dphgwbf"":0.0579, ""dphgwbd"":0.0851}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.0769, ""04"": 0.0769, ""05"": 0.0769, ""06"": 0.0769, ""07"": 0.0769, ""08"": 0.0769, ""09"": 0.0769, ""10"": null, ""11"": 0.0769, ""12"": 0.0769, ""13"": 0.0769, ""14"": null, ""15"": null, ""16"": 0.0769, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.0769, ""21"": null, ""22"": null, ""23"": 0.0769}",0,0.2353,0.3529,0,0.1765,0.2353,2018-05-02,1.1
dphgw6b,40.00585,-83.04514,Columbus,Franklin,Ohio,United States of America,US-OH,5.8551,1.7943,13,0.0506,5.6923,8.7692,"{""dphgw6c"":0.0685, ""dphgw5p"":0.1573, ""dphgw68"":0.1167, ""dphgw6b"":0.1815, ""dphgw4z"":0.3139, ""dphgw70"":0.076, ""dphgw71"":0.0375, ""dphgw69"":0.0486}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1429, ""06"": 0.1429, ""07"": 0.1429, ""08"": null, ""09"": null, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": 0.1429, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8462,0.0769,0,0.0769,2018-05-02,1.1
dphgr5q,39.96472,-83.00408,Columbus,Franklin,Ohio,United States of America,US-OH,5.4548,1.0926,7,0.0424,5.7143,10.5714,"{""dphgr5m"":0.1254, ""dphgr5t"":0.1051, ""dphgr5p"":0.2707, ""dphgr5q"":0.1251, ""dphgr5r"":0.0634, ""dphgr5n"":0.0704, ""dphgr5w"":0.0772, ""dphgr5x"":0.1627}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": 0.25, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.7143,0.1429,0,0.1429,2018-05-02,1.1
dpj5c5r,40.05268,-82.91454,Columbus,Franklin,Ohio,United States of America,US-OH,5.4167,1.3617,7,0.0446,4.2857,6.7143,"{""dpj5c5n"":0.1101, ""dpj5c70"":0.0586, ""dpj5c72"":0.1032, ""dpj5c5q"":0.1202, ""dpj5c78"":0.0743, ""dpj5c5r"":0.1768, ""dpj5c5p"":0.0513, ""dpj5c5w"":0, ""dpj5c5x"":0.3055}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.7143,0,0,0.2857,2018-05-02,1.1
dphgr6g,39.96213,-82.9968,Columbus,Franklin,Ohio,United States of America,US-OH,8.0071,2.1749,7,0.1077,5.8571,8.5714,"{""dphgr6d"":0.0201, ""dphgr7h"":0.0221, ""dphgr6u"":0.1117, ""dphgr6g"":0.158, ""dphgr6s"":0.1467, ""dphgr75"":0.2425, ""dphgr6f"":0.0639, ""dphgr6e"":0.1217, ""dphgr74"":0.1133}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1429,0.7143,0,0.1429,0,2018-05-02,1.1
dpj5c5j,40.05163,-82.91703,Columbus,Franklin,Ohio,United States of America,US-OH,5.5,1.6568,6,0.1071,4.5,7.5,"{""dpj5c5m"":0.0535, ""dpj5c5n"":0.0781, ""dpj5c5h"":0.1109, ""dpj5c4v"":0.1766, ""dpj5c5q"":0.094, ""dpj5c5k"":0.0928, ""dpj5c4y"":0.2037, ""dpj5c5j"":0.1904}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1667,0.8333,0,0,0,2018-05-02,1.1
dphgr6f,39.96246,-82.99824,Columbus,Franklin,Ohio,United States of America,US-OH,5.325,1.5477,6,0.1935,4.3333,7.1667,"{""dphgr75"":0.0761, ""dphgr6c"":0.1104, ""dphgr6e"":0.1612, ""dphgr6d"":0.0672, ""dphgr71"":0.1489, ""dphgr74"":0.167, ""dphgr69"":0.0627, ""dphgr6g"":0.0918, ""dphgr6f"":0.1148}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": 0.25, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8333,0,0,0.1667,2018-05-02,1.1
dphg7y0,39.98011,-83.15475,Columbus,Franklin,Ohio,United States of America,US-OH,7.9806,1.0251,6,0.0571,5.6667,13.1667,"{""dphg7vb"":0.13, ""dphg7tz"":0.0771, ""dphg7wp"":0.1376, ""dphg7y2"":0.0562, ""dphg7y1"":0.1331, ""dphg7vc"":0.1421, ""dphg7y3"":0.0435, ""dphg7wr"":0.0489, ""dphg7y0"":0.2313}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": 0.4, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8333,0.1667,0,0,2018-05-02,1.1
dphgqf0,39.95805,-83.02271,Columbus,Franklin,Ohio,United States of America,US-OH,4.825,2.5132,6,0.1034,4.6667,7.3333,"{""dphgqcc"":0.216, ""dphgqf1"":0.1643, ""dphgqf2"":0.1527, ""dphgqf0"":0.1805, ""dphgqf3"":0.0476, ""dphgqcb"":0.2389}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": 0.2, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1667,0.8333,0,0,0,2018-05-02,1.1
dpj54jj,39.93081,-82.87367,Columbus,Franklin,Ohio,United States of America,US-OH,10.2198,1.2519,63,0.0698,4.0159,7.3333,"{""dpj54jm"":0.3018, ""dpj54jn"":0.0047, ""dpj54jk"":0.2685, ""dpj54jh"":0.0948, ""dpj54hy"":0.0703, ""dpj54jj"":0.2599}","{""00"": null, ""01"": 0.1089, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1089, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.1089, ""12"": 0.1089, ""13"": 0.1089, ""14"": 0.1287, ""15"": 0.1089, ""16"": 0.1089, ""17"": 0.1089, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.0159,0,0.9524,0.0317,2018-05-02,1.1
dphgr3b,39.95643,-83.00096,Columbus,Franklin,Ohio,United States of America,US-OH,5.9311,2.5719,30,0.0815,4.9667,7.9,"{""dphgr38"":0.119, ""dphgr3b"":0.1291, ""dphgr4p"":0.0248, ""dphgr60"":0.0544, ""dphgr61"":0.1416, ""dphgr3c"":0.1949, ""dphgr1z"":0.0808, ""dphgr1x"":0.0945, ""dphgr39"":0.1609}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": 0.2, ""13"": 0.2, ""14"": 0.2, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.9333,0.0667,0,0,0,2018-05-02,1.1
dpj55hs,39.92774,-82.83073,Columbus,Franklin,Ohio,United States of America,US-OH,3.7796,1.4267,9,0.18,4,7.2222,"{""dpj55hv"":0.0639, ""dpj55h7"":0.0238, ""dpj55hk"":0.0793, ""dpj55hu"":0.0988, ""dpj55hs"":0.6616, ""dpj55ht"":0.0726}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1429, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1429, ""14"": null, ""15"": 0.1429, ""16"": null, ""17"": 0.1429, ""18"": null, ""19"": 0.1429, ""20"": 0.1429, ""21"": 0.1429, ""22"": null, ""23"": null}",0,0,0.8889,0,0.1111,0,2018-05-02,1.1
dphgyj2,40.06358,-83.05616,Columbus,Franklin,Ohio,United States of America,US-OH,2.7704,1.0535,9,0.1915,4.3333,6.6667,"{""dphgyj1"":0.0864, ""dphgvvp"":0.0202, ""dphgyj3"":0.0605, ""dphgvvx"":0.2333, ""dphgvvr"":0.2252, ""dphgyj0"":0.1296, ""dphgyj2"":0.2448}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8889,0,0.1111,0,2018-05-02,1.1
dphgscc,40.00015,-83.10968,Columbus,Franklin,Ohio,United States of America,US-OH,4.2786,1.3143,14,0.0169,5.5,8.2143,"{""dphgsf4"":0.1928, ""dphgsf1"":0.0905, ""dphgscb"":0.0907, ""dphgscf"":0.2164, ""dphgsc9"":0.0335, ""dphgsc8"":0.0025, ""dphgsf0"":0.04, ""dphgscd"":0.1005, ""dphgscc"":0.2331}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1, ""06"": null, ""07"": 0.1, ""08"": 0.1, ""09"": null, ""10"": 0.1, ""11"": 0.1, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.1, ""17"": 0.1, ""18"": 0.1, ""19"": 0.1, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.1}",0,0,0.2143,0.0714,0.0714,0.6429,2018-05-02,1.1
dphgrjn,39.97458,-83.00376,Columbus,Franklin,Ohio,United States of America,US-OH,4.1405,2.4008,7,0.25,5.8571,8.4286,"{""dphgrhy"":0.0547, ""dphgrjm"":0.0665, ""dphgrhz"":0.1026, ""dphgrjn"":0.1105, ""dphgrhv"":0.0313, ""dphgrjj"":0.0544, ""dphgrjr"":0.2932, ""dphgrjp"":0.1257, ""dphgrjq"":0.1612}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1429, ""07"": null, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": null, ""12"": null, ""13"": 0.1429, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1429,0.4286,0,0.1429,0.2857,2018-05-02,1.1
dphgwbw,39.99379,-83.01492,Columbus,Franklin,Ohio,United States of America,US-OH,6.0673,1.3423,28,0.1049,4.3929,7.7143,"{""dphgwbw"":0.1969, ""dphgwbt"":0.0797, ""dphgwbx"":0.0771, ""dphgwby"":0.1357, ""dphgwbm"":0.0737, ""dphgwbz"":0.2299, ""dphgwbr"":0.0594, ""dphgwbv"":0.1145, ""dphgwbq"":0.033}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.0909, ""07"": null, ""08"": 0.0909, ""09"": 0.0909, ""10"": 0.0909, ""11"": 0.0909, ""12"": 0.0909, ""13"": 0.0909, ""14"": 0.0909, ""15"": null, ""16"": 0.0909, ""17"": 0.0909, ""18"": 0.0909, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.0714,0.3571,0,0.0714,0.5,2018-05-02,1.1
dphgrpv,39.98929,-83.00533,Columbus,Franklin,Ohio,United States of America,US-OH,5.0444,1.3793,9,0.0638,4.3333,8.2222,"{""dphgrpt"":0.3398, ""dphgrpv"":0.2842, ""dphgrps"":0.0244, ""dphgx0j"":0.0458, ""dphgx0h"":0.102, ""dphgrpu"":0.2039}","{""00"": null, ""01"": null, ""02"": 0.1667, ""03"": 0.1667, ""04"": 0.1667, ""05"": null, ""06"": 0.1667, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.1111,0,0.4444,0.4444,2018-05-02,1.1
dphgwt7,40.01984,-83.02976,Columbus,Franklin,Ohio,United States of America,US-OH,3.45,1.0006,9,0.375,5,7.6667,"{""dphgwt4"":0.0671, ""dphgwth"":0.1221, ""dphgwt5"":0.1596, ""dphgwtd"":0.006, ""dphgwt7"":0.2657, ""dphgwts"":0.0542, ""dphgwte"":0.0843, ""dphgwtk"":0.0964, ""dphgwt6"":0.1446}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": 0.1667, ""08"": 0.1667, ""09"": null, ""10"": 0.1667, ""11"": 0.1667, ""12"": null, ""13"": null, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1111,0.1111,0,0.7778,0,2018-05-02,1.1
dphgrkc,39.97279,-82.9998,Columbus,Franklin,Ohio,United States of America,US-OH,9.8537,1.1852,9,0.0769,4.7778,8.8889,"{""dphgrkd"":0.0247, ""dphgrkc"":0.4398, ""dphgrm0"":0.0784, ""dphgrm1"":0.1172, ""dphgrkf"":0.0445, ""dphgrk9"":0.2955}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": null, ""14"": null, ""15"": 0.1429, ""16"": 0.1429, ""17"": null, ""18"": 0.1429, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1111,0.1111,0,0.1111,0.6667,2018-05-02,1.1
dpj5c5m,40.05258,-82.91707,Columbus,Franklin,Ohio,United States of America,US-OH,5.5852,2.3914,9,0.0155,4.6667,8.3333,"{""dpj5c5q"":0.0981, ""dpj5c5w"":0.0885, ""dpj5c5s"":0.0795, ""dpj5c5k"":0.0449, ""dpj5c5h"":0.2547, ""dpj5c5j"":0.1072, ""dpj5c5t"":0.0657, ""dpj5c5n"":0.0547, ""dpj5c5m"":0.2067}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1429, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": 0.1429, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.1429, ""22"": null, ""23"": null}",0,0.1111,0.4444,0,0,0.4444,2018-05-02,1.1
dpj55hg,39.92914,-82.83197,Columbus,Franklin,Ohio,United States of America,US-OH,4.7438,1.4837,8,0.1429,6.625,9.25,"{""dpj55he"":0.1296, ""dpj55hg"":0.3682, ""dpj55hs"":0.1119, ""dpj55hf"":0.197, ""dpj55hd"":0.0653, ""dpj55hu"":0.0691, ""dpj55jh"":0.0588}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.1667, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.125,0.125,0,0,0.75,0,2018-05-02,1.1
dpjh53b,40.08862,-82.82495,Columbus,Franklin,Ohio,United States of America,US-OH,2.5375,1.3887,8,0.1404,4.375,7.125,"{""dpjh561"":0.1375, ""dpjh560"":0.0879, ""dpjh51z"":0.1504, ""dpjh54p"":0.1203, ""dpjh51x"":0.0602, ""dpjh53c"":0.1368, ""dpjh53b"":0.3068}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.1429, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": null, ""18"": 0.1429, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.125,0.25,0.125,0,0.25,0.25,2018-05-02,1.1
dpj55hm,39.92661,-82.82925,Columbus,Franklin,Ohio,United States of America,US-OH,4.7604,2.9325,8,0.1509,5.5,8.875,"{""dpj55hj"":0.0442, ""dpj55hk"":0.0469, ""dpj55hm"":0.2436, ""dpj55hn"":0.1117, ""dpj55hs"":0.1565, ""dpj55hq"":0.1219, ""dpj55hh"":0.1024, ""dpj55hw"":0.0782, ""dpj55ht"":0.0946}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": 0.1667, ""15"": 0.1667, ""16"": null, ""17"": 0.1667, ""18"": null, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.125,0.125,0.125,0,0,0.625,2018-05-02,1.1
dphgr6x,39.96058,-82.99172,Columbus,Franklin,Ohio,United States of America,US-OH,5.0563,1.1555,8,0.1404,5.5,9.75,"{""dphgr6y"":0.0308, ""dphgr6z"":0.1091, ""dphgrdb"":0.1264, ""dphgr6x"":0.1359, ""dphgrd2"":0.1841, ""dphgr6w"":0.1261, ""dphgr6r"":0.0703, ""dphgrd8"":0.0821, ""dphgr6q"":0.1352}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": 0.1667, ""10"": 0.1667, ""11"": null, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.125,0.25,0.25,0,0,0.375,2018-05-02,1.1
dphgkev,39.96751,-83.11473,Columbus,Franklin,Ohio,United States of America,US-OH,7.0938,1.2895,8,0.0196,4.75,9.125,"{""dphgkey"":0.1098, ""dphgkew"":0.0918, ""dphgkev"":0.3635, ""dphgksj"":0.2593, ""dphgket"":0.0067, ""dphgksn"":0.1689}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.125, ""09"": 0.125, ""10"": null, ""11"": 0.125, ""12"": 0.125, ""13"": null, ""14"": 0.125, ""15"": 0.125, ""16"": 0.125, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.125, ""21"": null, ""22"": null, ""23"": null}",0.125,0,0.25,0,0.25,0.375,2018-05-02,1.1
dphgr76,39.96481,-82.99849,Columbus,Franklin,Ohio,United States of America,US-OH,5.8771,1.0909,8,0.0615,5,10.25,"{""dphgr71"":0.1586, ""dphgr77"":0.0751, ""dphgr7e"":0.0815, ""dphgr74"":0.1198, ""dphgr75"":0.0919, ""dphgr76"":0.2633, ""dphgr7d"":0.2098}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.2, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.2}",0.125,0.125,0.25,0,0,0.5,2018-05-02,1.1
dphgpqz,39.93979,-82.99148,Columbus,Franklin,Ohio,United States of America,US-OH,5.1271,1.9996,8,0.2963,4.75,9.5,"{""dphgpqx"":0.2368, ""dphgpqz"":0.1301, ""dphgpw8"":0.2007, ""dphgpqw"":0.0725, ""dphgprn"":0.0743, ""dphgpwb"":0.0686, ""dphgpqy"":0.0924, ""dphgpx0"":0.0554, ""dphgprp"":0.0693}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.125,0.125,0.375,0,0,0.375,2018-05-02,1.1
dphuj70,40.09542,-83.08921,Columbus,Franklin,Ohio,United States of America,US-OH,2.3292,1.3059,8,0.1081,5,8.375,"{""dphuj73"":0.1733, ""dphuj4z"":0.077, ""dphuj6c"":0.0096, ""dphuj5p"":0.0693, ""dphuj72"":0.0867, ""dphuj71"":0.2056, ""dphuj6b"":0.1417, ""dphuj5r"":0.0798, ""dphuj70"":0.1568}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1667, ""11"": 0.1667, ""12"": null, ""13"": 0.1667, ""14"": null, ""15"": 0.1667, ""16"": 0.1667, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.1667, ""21"": null, ""22"": null, ""23"": null}",0.125,0.125,0.375,0,0,0.375,2018-05-02,1.1
dpj58ce,39.9992,-82.93065,Columbus,Franklin,Ohio,United States of America,US-OH,4.8062,1.7808,8,0.0261,4.5,7,"{""dpj58ce"":0.238, ""dpj58cg"":0.1182, ""dpj58c7"":0.1165, ""dpj58c6"":0.1488, ""dpj58cd"":0.1568, ""dpj58cs"":0.1815, ""dpj58ck"":0.0403}","{""00"": 0.1429, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1429, ""11"": null, ""12"": 0.1429, ""13"": 0.1429, ""14"": null, ""15"": null, ""16"": 0.1429, ""17"": 0.1429, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.1429, ""22"": null, ""23"": null}",0.125,0.5,0.375,0,0,0,2018-05-02,1.1
dphgr7k,39.96489,-82.99574,Columbus,Franklin,Ohio,United States of America,US-OH,6.5417,1.2705,8,0.1404,5.625,10.25,"{""dphgr7t"":0.0364, ""dphgr75"":0.1331, ""dphgr7s"":0.058, ""dphgr77"":0.1302, ""dphgr7h"":0.1523, ""dphgr7k"":0.1581, ""dphgr7e"":0.0841, ""dphgr7j"":0.1316, ""dphgr7m"":0.1162}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": 0.1667, ""08"": null, ""09"": null, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.125,0.25,0.625,0,0,0,2018-05-02,1.1
dphgrm4,39.97463,-82.9979,Columbus,Franklin,Ohio,United States of America,US-OH,3.9813,1.0885,8,0.1951,5.75,8.375,"{""dphgrm7"":0.042, ""dphgrkg"":0.0171, ""dphgrm5"":0.0934, ""dphgrkc"":0.1488, ""dphgrm4"":0.4152, ""dphgrm6"":0.04, ""dphgrkf"":0.064, ""dphgrm1"":0.1795}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": null, ""19"": null, ""20"": 0.1667, ""21"": null, ""22"": null, ""23"": null}",0.125,0.125,0.75,0,0,0,2018-05-02,1.1
dpj595j,40.00731,-82.91695,Columbus,Franklin,Ohio,United States of America,US-OH,4.2521,2.2958,8,0.3333,4.125,6.5,"{""dpj594y"":0.1063, ""dpj595n"":0.0704, ""dpj595j"":0.5342, ""dpj594v"":0.1322, ""dpj595h"":0.1569}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": 0.1667, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.25,0.125,0.5,0,0,0.125,2018-05-02,1.1
