ParkingGeohash,AvgLatitude,AvgLongitude,City,County,State,Country,ISO_3166_2,AvgTimeToPark,AvgTimeToParkRatio,TotalSearching,PercentSearching,AvgUniqueGeohashes,AvgTotalGeohashes,CirclingDistribution,HourlyDistribution,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dphgsdj,40.00139,-83.11459,Columbus,Franklin,Ohio,United States of America,US-OH,4.565,2.4198,10,0.0602,5.2,7.9,"{""dphgsdm"":0.0846, ""dphgsdn"":0.2576, ""dphgsdk"":0.0147, ""dphgsdj"":0.1092, ""dphgsdq"":0.1067, ""dphgsdh"":0.2245, ""dphgs9u"":0.0028, ""dphgs9v"":0.1998}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1429, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": null, ""12"": 0.1429, ""13"": 0.1429, ""14"": null, ""15"": 0.1429, ""16"": 0.1429, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.1,0.2,0,0.3,0.4,2018-05-02,1.1
dpjh016,40.08624,-82.96534,Columbus,Franklin,Ohio,United States of America,US-OH,2.26,1.5082,5,0.1852,4.2,7.4,"{""dpjh019"":0.2459, ""dpjh013"":0.1203, ""dpjh01e"":0.0868, ""dpjh01d"":0.2898, ""dpjh016"":0.2572}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2857, ""09"": null, ""10"": null, ""11"": 0.4286, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.2857, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.4,0.2,0,0.2,0.2,2018-05-02,1.1
dphgrc1,39.95245,-82.97797,Columbus,Franklin,Ohio,United States of America,US-OH,7.66,1.8873,5,0.2273,5.4,9.6,"{""dphgrc3"":0.078, ""dphgrc1"":0.2586, ""dphgrc4"":0.1596, ""dphgrc6"":0.1155, ""dphgrbb"":0.0334, ""dphgrc2"":0.0539, ""dphgrc0"":0.2453, ""dphgrbf"":0.0557}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.2, ""15"": 0.2, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": 0.2, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.4,0.2,0,0,0.4,2018-05-02,1.1
dphgrj3,39.97538,-83.01112,Columbus,Franklin,Ohio,United States of America,US-OH,2.8867,1.005,5,0.4545,4.4,7.4,"{""dphgrj3"":0.0854, ""dphgrj2"":0.1762, ""dphgrj0"":0.2107, ""dphgrj1"":0.0888, ""dphgrj9"":0.2346, ""dphgrj4"":0.2042}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": 0.25, ""10"": 0.25, ""11"": 0.25, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.6,0.2,0,0,0.2,2018-05-02,1.1
dphgrd0,39.95801,-82.9901,Columbus,Franklin,Ohio,United States of America,US-OH,6.2767,2.4117,5,0.0877,5.2,8.6,"{""dphgrd0"":0.2353, ""dphgr9b"":0.0966, ""dphgr9c"":0.1399, ""dphgrd1"":0.0371, ""dphgr6r"":0.1068, ""dphgrd3"":0.0932, ""dphgr6p"":0.0814, ""dphgrd2"":0.1606, ""dphgr3z"":0.0492}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.2,0.6,0,0.2,2018-05-02,1.1
dpj5c5g,40.05529,-82.9202,Columbus,Franklin,Ohio,United States of America,US-OH,4.0667,1.6452,5,0.0658,4.6,7,"{""dpj5c5d"":0.0975, ""dpj5c5e"":0.2724, ""dpj5c5f"":0.0969, ""dpj5c5s"":0.3377, ""dpj5ch5"":0.0411, ""dpj5c5u"":0.0587, ""dpj5c5g"":0.0957}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.2, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0.4,0.2,0,0,0.4,2018-05-02,1.1
dphgnj6,39.93153,-83.05294,Columbus,Franklin,Ohio,United States of America,US-OH,5.58,1.5717,5,0.0658,5.4,7.6,"{""dphgnjd"":0.0762, ""dphgnj3"":0.1019, ""dphgnj9"":0.0372, ""dphgnj4"":0.0922, ""dphgnj6"":0.2481, ""dphgnje"":0.0259, ""dphgnj7"":0.1067, ""dphgnj5"":0.3118}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.2, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.2,0,0.2,0.6,2018-05-02,1.1
dphgrj0,39.97472,-83.01209,Columbus,Franklin,Ohio,United States of America,US-OH,5.75,1.685,5,0.1389,6.6,10.6,"{""dphgqvp"":0.0694, ""dphgquz"":0.0322, ""dphgrj3"":0.1442, ""dphgrhb"":0.0526, ""dphgrj2"":0.1286, ""dphgrhc"":0.0865, ""dphgrj1"":0.1529, ""dphgrj0"":0.2955, ""dphgqvr"":0.038}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.3333, ""09"": 0.3333, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": 0.3333, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.2,0.2,0.4,0,0.2,2018-05-02,1.1
dphgrc3,39.9539,-82.97791,Columbus,Franklin,Ohio,United States of America,US-OH,6.6267,1.3247,5,0.0877,5,7.4,"{""dphgrc6"":0.1341, ""dphgrc3"":0.1758, ""dphgrc4"":0.1102, ""dphgrc2"":0.1415, ""dphgrc0"":0.1807, ""dphgrcd"":0.1274, ""dphgrc1"":0.1304}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.2,0,0,0.8,2018-05-02,1.1
dphgx49,40.00435,-83.01017,Columbus,Franklin,Ohio,United States of America,US-OH,6.98,1.1982,5,0.1613,6.2,9,"{""dphgx49"":0.2834, ""dphgx42"":0.0753, ""dphgx43"":0.0858, ""dphgx4d"":0.1372, ""dphgx4f"":0.1853, ""dphgx4b"":0.0412, ""dphgx4c"":0.0496, ""dphgx46"":0.1422}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": null, ""10"": 0.25, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.2,0.2,0,0.4,0.2,2018-05-02,1.1
